                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.91381,                0.44977,                0.87278,                0.96331,                0.95485,                0.96888,                0.61211,                 1.3611,                0.52097,                 1.0436,               0.007393,               0.007393,               0.007393
                     81,                0.91754,                0.44875,                0.87445,                0.96226,                0.95385,                0.96875,                0.61226,                 1.3614,                0.52241,                 1.0442,                0.00736,                0.00736,                0.00736
                     82,                0.91466,                0.45767,                0.87533,                0.96228,                0.95385,                0.96858,                0.61393,                 1.3645,                0.52374,                 1.0451,               0.007327,               0.007327,               0.007327
                     83,                0.90329,                0.44247,                0.87113,                0.96327,                0.95356,                0.96904,                0.61291,                 1.3643,                0.52254,                 1.0446,               0.007294,               0.007294,               0.007294
                     84,                0.91251,                0.44942,                0.87291,                0.96185,                0.95211,                0.96739,                0.61329,                 1.3652,                0.51975,                 1.0452,               0.007261,               0.007261,               0.007261
                     85,                0.89937,                0.44237,                0.87179,                0.96184,                0.95169,                0.96764,                 0.6134,                 1.3651,                0.52082,                 1.0453,               0.007228,               0.007228,               0.007228
                     86,                0.90159,                0.44631,                0.86909,                0.96181,                  0.951,                0.96758,                0.61273,                 1.3628,                0.51905,                 1.0447,               0.007195,               0.007195,               0.007195
                     87,                0.89236,                 0.4428,                0.86727,                 0.9618,                0.95075,                0.96729,                0.61194,                 1.3652,                0.51961,                 1.0458,               0.007162,               0.007162,               0.007162
                     88,                0.89013,                0.44036,                 0.8708,                0.96321,                0.95215,                0.96865,                0.61205,                 1.3666,                0.52027,                 1.0464,               0.007129,               0.007129,               0.007129
                     89,                0.88956,                0.43912,                0.86616,                 0.9618,                0.95088,                0.96741,                0.61059,                 1.3651,                0.51959,                 1.0454,               0.007096,               0.007096,               0.007096
                     90,                0.88349,                0.43812,                0.86829,                0.96046,                0.94965,                0.96741,                0.61138,                 1.3647,                0.51862,                 1.0458,               0.007063,               0.007063,               0.007063
                     91,                0.87616,                0.43341,                0.86652,                0.96043,                0.95041,                0.96762,                 0.6112,                 1.3653,                 0.5179,                 1.0465,                0.00703,                0.00703,                0.00703
                     92,                0.87381,                0.43299,                0.86499,                0.96079,                0.94965,                0.96769,                0.61262,                 1.3646,                0.51768,                 1.0463,               0.006997,               0.006997,               0.006997
                     93,                0.88038,                0.43453,                0.86711,                0.96043,                0.95045,                0.96766,                0.61374,                 1.3641,                0.51684,                 1.0466,               0.006964,               0.006964,               0.006964
                     94,                0.86235,                0.43002,                0.86137,                 0.9596,                0.94965,                0.96787,                0.61416,                  1.363,                0.51678,                  1.046,               0.006931,               0.006931,               0.006931
                     95,                0.87675,                0.43423,                0.86283,                0.95943,                0.94965,                 0.9684,                0.61421,                 1.3625,                0.51781,                 1.0463,               0.006898,               0.006898,               0.006898
                     96,                0.87459,                0.43109,                0.86377,                 0.9603,                0.94965,                0.96848,                0.61514,                 1.3613,                0.51711,                 1.0461,               0.006865,               0.006865,               0.006865
