                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.97532,                 0.4796,                0.87022,                0.96836,                0.92593,                0.96582,                0.49274,                 1.8696,                 0.6926,                 1.2376,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97552,                0.47247,                0.87481,                0.93034,                0.93981,                0.96231,                0.49677,                 1.8551,                0.70537,                 1.2322,              0.0004556,              0.0004556,              0.0004556
                     80,                0.92426,                0.46526,                0.86718,                0.95649,                0.93981,                0.97251,                0.48787,                 1.8725,                0.69494,                   1.24,              0.0004358,              0.0004358,              0.0004358
                     81,                0.93361,                0.46747,                0.85967,                 0.9491,                0.93056,                0.96104,                0.47475,                 1.8851,                0.71146,                 1.2338,               0.000416,               0.000416,               0.000416
                     82,                0.93462,                0.45945,                0.86006,                0.98278,                 0.9213,                0.97495,                0.48361,                 1.8672,                0.69074,                 1.2412,              0.0003962,              0.0003962,              0.0003962
                     83,                0.91465,                0.45433,                0.86336,                0.96649,                0.93981,                0.96342,                0.48507,                 1.8663,                0.68457,                 1.2366,              0.0003764,              0.0003764,              0.0003764
                     84,                0.91967,                0.45548,                0.86504,                 0.9714,                0.94339,                0.97278,                0.48661,                 1.8886,                0.68311,                 1.2433,              0.0003566,              0.0003566,              0.0003566
                     85,                0.92104,                  0.453,                0.85905,                0.97211,                0.93056,                0.96629,                0.48216,                 1.8747,                0.70094,                 1.2508,              0.0003368,              0.0003368,              0.0003368
                     86,                0.88968,                 0.4432,                 0.8612,                0.96103,                 0.9537,                0.97031,                0.48768,                 1.8869,                0.70821,                 1.2555,               0.000317,               0.000317,               0.000317
                     87,                0.88408,                0.44309,                0.85887,                0.96185,                0.93981,                0.95681,                0.47963,                 1.8785,                0.70533,                 1.2474,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88796,                0.44895,                0.85648,                0.96943,                0.94907,                0.97328,                0.48577,                 1.8676,                0.69222,                 1.2311,              0.0002774,              0.0002774,              0.0002774
                     89,                0.88512,                0.44214,                0.85378,                0.96406,                0.93056,                0.97024,                0.48788,                 1.8803,                0.68895,                 1.2481,              0.0002576,              0.0002576,              0.0002576
                     90,                0.87068,                 0.4324,                0.85436,                0.96191,                 0.9352,                 0.9696,                0.48025,                 1.8867,                0.69817,                 1.2505,              0.0002378,              0.0002378,              0.0002378
                     91,                0.85525,                0.42904,                0.84471,                0.95301,                0.94444,                0.97279,                0.48904,                 1.9057,                0.71364,                 1.2619,               0.000218,               0.000218,               0.000218
                     92,                0.85294,                0.43333,                0.84681,                0.97005,                0.94444,                0.96891,                0.48955,                  1.876,                0.69999,                 1.2481,              0.0001982,              0.0001982,              0.0001982
                     93,                0.83329,                0.42013,                0.84678,                0.96966,                0.92593,                0.96765,                0.48913,                 1.8827,                0.70536,                 1.2555,              0.0001784,              0.0001784,              0.0001784
                     94,                0.84546,                0.42188,                0.85069,                0.95514,                0.93981,                0.96455,                0.48732,                 1.8843,                0.69818,                 1.2396,              0.0001586,              0.0001586,              0.0001586
                     95,                0.81614,                0.41702,                0.84903,                0.96205,                0.94907,                0.97397,                0.48304,                 1.8865,                0.69441,                 1.2384,              0.0001388,              0.0001388,              0.0001388
                     96,                0.82741,                0.41365,                0.84729,                0.96649,                 0.9348,                0.96894,                0.48586,                 1.8939,                 0.7121,                 1.2444,               0.000119,               0.000119,               0.000119
                     97,                0.81435,                0.41814,                0.84414,                0.96149,                0.92462,                0.96408,                0.48194,                 1.8991,                  0.694,                 1.2506,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.81321,                0.41319,                0.84359,                0.95269,                0.93228,                0.96518,                0.48519,                 1.8938,                 0.6973,                 1.2512,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.8234,                0.41528,                 0.8444,                0.94653,                0.93981,                0.96476,                 0.4795,                 1.8878,                0.69755,                 1.2473,               5.96e-05,               5.96e-05,               5.96e-05
